from_id,from_label,date,to_id,to_label,to_name,to_color,function_id,function_color,function_english,function,amount,Currency
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,1,#449256,General Administration,Amministrazione Generale,2313791460,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,2,#6AAC32,Defence,Difesa,575795040,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,3,#D32645,Public Safety,Sicurezza pubblica,745347140,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,4,#481B79,Justice,Giustizia,273431830,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,5,#6AAC32,Education,Istruzione,1447840590,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,7,#2458A3,Research & Development (R & D),Ricerca e Sviluppo (R. & S.),124630690,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,8,#EDC92D,Culture and recreation facilities,Cultura e servizi ricreativi,307079880,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,9,#449256,Housing and Urban,Edilizia abitativa e urbanistica,95561440,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,10,#2458A3,Health ',Sanita',105017000,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,11,#C22769,Interventions in the social sphere (assist. and benefits.),Interventi in campo sociale (assist. e benef.),1163727770,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,12,#211D79,Water,Acqua,14853470,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,14,#44913D,Environment,Ambiente,2507740,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,17,#7A2077,Labour,Lavoro,35396690,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,18,#CA221D,Retirement and wage subsidies,Previdenza e Integrazioni Salariali,16493818910,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,19,#14388C,Other transport,Altri trasporti,1039732950,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,20,#CD531C,ROAD ',Viabilita',160654190,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,21,#42928F,Telecommunications,Telecomunicazioni,180565600,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,22,#449256,Agriculture,Agricoltura,102080950,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,24,#E29826,Tourism,Turismo,7051490,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,25,#2458A3,Commerce,Commercio,88176920,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,26,#42928F,Industry and Handicrafts,Industria e Artigianato,254237740,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,27,#CA221D,Energy,Energia,5183860,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,29,#EDC92D,Other economic sectors,Altre in campo economico,922043880,EUR
AC,Amministrazioni Centrali,1996,01,Piemonte,italy-Piemonte,#EDC92D,30,#42928F,Unclassified expenditure,Oneri non ripartibili,8891525390,EUR
AC,Amministrazioni Centrali,1996,02,Valle d'Aosta,italy-Valle d'Aosta,#E29826,1,#449256,General Administration,Amministrazione Generale,60392590,EUR
AC,Amministrazioni Centrali,1996,02,Valle d'Aosta,italy-Valle d'Aosta,#E29826,2,#6AAC32,Defence,Difesa,12339190,EUR
